path,Q_init,S_init,tau,Q_minus,Q_plus,S_minus,S_plus
./data/datasets/varying_pinn_datasets/varying_S.csv,100,0.05,0.25477445,2.2733505,32.99919,66712.055,0.018435065
./data/datasets/varying_pinn_datasets/varying_S.csv,100,0.05,1.4979783,32.99919,204.9352,0.018435065,29280.402
./data/datasets/varying_pinn_datasets/varying_S.csv,100,0.05,0.003672824,204.9352,40.121147,29280.402,0.014274488
./data/datasets/varying_pinn_datasets/varying_S.csv,100,0.05,4.166152,40.121147,101.604324,0.014274488,3.9649222
./data/datasets/varying_pinn_datasets/varying_S.csv,100,0.05,1.4981737,101.604324,46.139023,3.9649222,0.025425557
./data/datasets/varying_pinn_datasets/varying_S.csv,100,0.05,4.4040303,46.139023,100.87624,0.025425557,0.050503206
./data/datasets/varying_pinn_datasets/varying_S.csv,100,0.05,4.166131,100.87624,91.38418,0.050503206,15957.92
./data/datasets/varying_pinn_datasets/varying_S.csv,100,0.05,7.893634,91.38418,70.353325,15957.92,0.014100195
./data/datasets/varying_pinn_datasets/varying_S.csv,100,0.05,6.25687,70.353325,60.012394,0.014100195,0.055082515
./data/datasets/varying_pinn_datasets/varying_S.csv,100,0.05,6.256869,60.012394,11.4507065,0.055082515,7.9972596
./data/datasets/varying_pinn_datasets/varying_S.csv,100,0.05,6.4218774,11.4507065,6.691228,7.9972596,67487.625
