path,Q_init,S_init,tau,Q_minus,Q_plus,S_minus,S_plus
./data/datasets/varying_pinn_datasets/varying_Q.csv,50,10000.0,2.512584924697876,78.88585662841797,1326.728759765625,74458.5234375,211469.703125
./data/datasets/varying_pinn_datasets/varying_Q.csv,50,10000.0,2.512584924697876,78.88585662841797,1326.728759765625,74458.5234375,211469.703125
./data/datasets/varying_pinn_datasets/varying_Q.csv,50,10000.0,3.977510452270508,37.82732009887695,273.93182373046875,65.21356964111328,123435.4375
./data/datasets/varying_pinn_datasets/varying_Q.csv,50,10000.0,2.512584924697876,78.88585662841797,1326.728759765625,74458.5234375,211469.703125
./data/datasets/varying_pinn_datasets/varying_Q.csv,50,10000.0,3.977510452270508,37.82732009887695,273.93182373046875,65.21356964111328,123435.4375
./data/datasets/varying_pinn_datasets/varying_Q.csv,50,10000.0,4.505709648132324,35.974151611328125,656.1848754882812,51463.0546875,166479.875
./data/datasets/varying_pinn_datasets/varying_Q.csv,50,100000.0,2.5107603073120117,47.458534240722656,1318.466552734375,65152.75390625,209903.484375
./data/datasets/varying_pinn_datasets/varying_Q.csv,50,100000.0,2.5107603073120117,47.458534240722656,1318.466552734375,65152.75390625,209903.484375
./data/datasets/varying_pinn_datasets/varying_Q.csv,50,100000.0,3.975642442703247,87.3375015258789,306.9708251953125,7385.09423828125,132597.25
./data/datasets/varying_pinn_datasets/varying_Q.csv,50,100000.0,2.5107603073120117,47.458534240722656,1318.466552734375,65152.75390625,209903.484375
./data/datasets/varying_pinn_datasets/varying_Q.csv,50,100000.0,3.975642442703247,87.3375015258789,306.9708251953125,7385.09423828125,132597.25
./data/datasets/varying_pinn_datasets/varying_Q.csv,50,100000.0,4.5058746337890625,5.019783973693848,755.59521484375,42599.80859375,196252.546875
./data/datasets/varying_pinn_datasets/varying_Q.csv,50,1000000.0,2.5107057094573975,153.9397735595703,1340.963623046875,99085.5,214735.546875
./data/datasets/varying_pinn_datasets/varying_Q.csv,50,1000000.0,2.5107057094573975,153.9397735595703,1340.963623046875,99085.5,214735.546875
./data/datasets/varying_pinn_datasets/varying_Q.csv,50,1000000.0,3.968600034713745,1142.370361328125,147.10821533203125,168127.40625,91168.828125
./data/datasets/varying_pinn_datasets/varying_Q.csv,50,1000000.0,2.5107057094573975,153.9397735595703,1340.963623046875,99085.5,214735.546875
./data/datasets/varying_pinn_datasets/varying_Q.csv,50,1000000.0,3.968600034713745,1142.370361328125,147.10821533203125,168127.40625,91168.828125
./data/datasets/varying_pinn_datasets/varying_Q.csv,50,1000000.0,4.511240005493164,252.70474243164062,903.4804077148438,119096.546875,240094.125
