t_hours,C_true_ppm,C_meas_ppm,Q_true,S_true
0.0,500.0,501.8859533164009,200.0,175283.74036443373
0.016666666666666666,526.1097122833593,524.1281393339898,200.0,175283.74036443373
0.03333333333333333,551.3634642830976,560.9698040397469,200.0,175283.74036443373
0.05,575.7892865582372,577.3627883155328,200.0,175283.74036443373
0.06666666666666667,599.4143157929019,591.3792751954852,200.0,175283.74036443373
0.08333333333333333,622.2648235838669,627.6887494075092,200.0,175283.74036443373
0.1,644.3662202224475,663.9262208993996,200.0,175283.74036443373
0.11666666666666667,665.7430591199615,679.9492735669,200.0,175283.74036443373
0.13333333333333333,686.4190656003437,675.8630370632388,200.0,175283.74036443373
0.15,706.4172191726495,687.4358971069588,200.0,175283.74036443373
0.16666666666666666,725.7597597186609,716.4106427806006,200.0,175283.74036443373
0.18333333333333332,744.4681955166772,745.0880852068858,200.0,175283.74036443373
0.2,762.5632982851081,727.6878366655255,200.0,175283.74036443373
0.21666666666666667,780.0651557686782,776.78328080969,200.0,175283.74036443373
0.23333333333333334,796.9932249897466,778.3045607809506,200.0,175283.74036443373
0.25,813.3663328723028,802.382322551751,200.0,175283.74036443373
0.26666666666666666,829.202685863722,821.0388011208623,200.0,175283.74036443373
0.2833333333333333,844.5198599771438,839.7753576316065,200.0,175283.74036443373
0.3,859.3348608826001,865.5093189282121,200.0,175283.74036443373
0.31666666666666665,873.6641603131073,889.3018608547475,200.0,175283.74036443373
0.3333333333333333,887.5236960750091,885.5956761308486,200.0,175283.74036443373
0.35,900.928880763764,921.4258328220093,200.0,175283.74036443373
0.36666666666666664,913.8945911265619,903.9166710242627,200.0,175283.74036443373
0.3833333333333333,926.4352193970428,931.7078704484381,200.0,175283.74036443373
0.4,938.5647078726882,952.1167605974654,200.0,175283.74036443373
0.4166666666666667,950.2965489406884,951.7067334071015,200.0,175283.74036443373
0.43333333333333335,961.6437825298992,950.4912937895921,200.0,175283.74036443373
0.45,972.6190098461259,958.7931292022496,200.0,175283.74036443373
0.4666666666666667,983.2344264147257,976.3685390297156,200.0,175283.74036443373
0.48333333333333334,993.5018282314041,996.8047550834549,200.0,175283.74036443373
0.5,1003.4308265513647,988.2865537982836,200.0,37868.83170916909
0.5166666666666666,990.5111223736728,987.3734887505972,200.0,37868.83170916909
0.5333333333333333,978.0149706766812,975.626595527964,200.0,37868.83170916909
0.55,965.9284880144796,974.0411717847668,200.0,37868.83170916909
0.5666666666666667,954.2382640165447,957.4581508541398,200.0,37868.83170916909
0.5833333333333334,942.9313041992416,948.2618948348404,200.0,37868.83170916909
0.6,931.9950296702684,922.1876005289934,200.0,37868.83170916909
0.6166666666666667,921.4172752705806,919.473070765189,200.0,37868.83170916909
0.6333333333333333,911.1862864866098,922.9459185375297,200.0,37868.83170916909
0.65,901.2907183534354,923.6921855317469,200.0,37868.83170916909
0.6666666666666666,891.719579285713,872.8335963041512,200.0,37868.83170916909
0.6833333333333333,882.4622242380569,905.1710808591429,200.0,37868.83170916909
