dataset,run_name,mode,recon_mean_rel_err,recon_median_rel_err,recon_max_rel_err,recon_rmse,cp_precision,cp_recall,cp_f1,cp_n_true,cp_n_pred,cp_count_error,n_hidden,hidden_dim,warmup_epochs,ramp_epochs,stage1_sigma
data\datasets\validation_dataset\iaq_varyQ_seg10_seed64.csv,iaq_varyQ_seg10_seed64,Q,0.3667948048731269,0.33102797584942256,0.8433713451904097,166.19357325949443,0.5833333333333334,0.7777777777777778,0.6666666666666666,9,12,3,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg11_seed12.csv,iaq_varyQ_seg11_seed12,Q,0.15743781734642512,0.13939433981552982,0.371872669052345,56.41722523675477,0.75,0.9,0.8181818181818182,10,12,2,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg11_seed87.csv,iaq_varyQ_seg11_seed87,Q,0.381198835339483,0.34252705857933086,2.751377726580136,212.19134436445847,0.5,0.3,0.37499999999999994,10,6,-4,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg11_seed90.csv,iaq_varyQ_seg11_seed90,Q,0.36427822820345224,0.29670387749428295,0.9077051973232673,163.60646533461642,0.7272727272727273,0.8,0.761904761904762,10,11,1,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg12_seed22.csv,iaq_varyQ_seg12_seed22,Q,0.29337614454824495,0.3285243014823562,0.4275710398632242,145.56014178654308,0.5,0.45454545454545453,0.47619047619047616,11,10,-1,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg12_seed83.csv,iaq_varyQ_seg12_seed83,Q,0.3584148485685788,0.3839387395303772,0.5346805096884484,161.13440423060777,0.5384615384615384,0.6363636363636364,0.5833333333333334,11,13,2,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg13_seed26.csv,iaq_varyQ_seg13_seed26,Q,0.3158759131930196,0.296275867700505,0.7656592284769466,116.79523417145099,0.7272727272727273,0.6666666666666666,0.6956521739130435,12,11,-1,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg13_seed3.csv,iaq_varyQ_seg13_seed3,Q,0.37469225767978637,0.3807376641486888,0.5853204986334827,198.7212436820586,0.6428571428571429,0.75,0.6923076923076924,12,14,2,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg13_seed96.csv,iaq_varyQ_seg13_seed96,Q,0.34336384354022653,0.21583242323763777,0.9037118694395472,278.17939662431525,0.5454545454545454,0.5,0.5217391304347826,12,11,-1,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg14_seed39.csv,iaq_varyQ_seg14_seed39,Q,0.3736021821680019,0.35315902643324043,0.5803961142080488,175.88786147909752,0.5833333333333334,0.5384615384615384,0.5599999999999999,13,12,-1,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg14_seed45.csv,iaq_varyQ_seg14_seed45,Q,0.35285641315108174,0.2401125008130898,2.3358674926585485,156.07141347971134,0.8181818181818182,0.8181818181818182,0.8181818181818182,11,11,0,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg14_seed71.csv,iaq_varyQ_seg14_seed71,Q,0.3463268737077666,0.394009961528656,0.7545013185510246,186.7374374650285,0.5454545454545454,0.46153846153846156,0.4999999999999999,13,11,-2,3,64,1500,1100,6.177938360791919
