t_hours,C_true_ppm,C_analytic_ppm,C_meas_ppm
0.0,500.0,500.0,501.8859533164009
0.016666666666666666,530.1611895180409,530.1611875565545,528.1796165686715
0.03333333333333333,559.3335956924165,559.3335737709117,568.9399354490657
0.05,587.5496012373028,587.5495754069173,589.1231029945984
0.06666666666666667,614.840556948049,614.8405464804883,606.8055163506323
0.08333333333333333,641.2368104416896,641.236813100635,646.6607362653319
0.1,666.7677123420152,666.7677071682567,686.3277130189673
0.11666666666666667,691.4616182768616,691.4615989701609,705.6678327238002
0.13333333333333333,715.3459428769984,715.3459287045232,704.7899143398935
0.15,738.447236604349,738.4472369728196,719.4659145386582
0.16666666666666666,760.7911887186235,760.7911942721139,751.4420717805632
0.18333333333333332,782.4026399329853,782.4026295204739,783.0225296231939
0.2,803.3055754078105,803.3055576472118,768.4301137882279
0.21666666666666667,823.5232136234465,823.523206278611,820.2413386644583
0.23333333333333334,843.078035803952,843.0780415487883,824.389371595156
0.25,861.9917883242864,861.9917930643772,851.0077780037346
0.26666666666666666,880.2854900175014,880.2854780507707,872.1216052746418
0.2833333333333333,897.9794395939376,897.9794247067565,893.2349372484003
0.3,915.0932975650717,915.0932947934956,921.2677556106837
0.31666666666666665,931.6460966910845,931.6461054829472,947.2837972327246
0.3333333333333333,947.6562456347868,947.6562504900153,945.7282256906263
0.35,963.141531706618,963.1415205119033,983.6384837648633
0.36666666666666664,978.1191358969926,978.1191229973845,968.1412157946934
0.3833333333333333,992.6057021063671,992.6057012679614,997.8783531577624
0.4,1006.6173425555429,1006.6173530121562,1020.16939528032
0.4166666666666667,1020.1696408791316,1020.1696481734881,1021.5798253455448
0.43333333333333335,1033.277654976178,1033.2776462520126,1022.1251662358708
0.45,1045.9559251774779,1045.9559130386488,1032.1300445336017
0.4666666666666667,1058.218538268264,1058.2185368008895,1051.3526508832538
0.48333333333333334,1070.0791332486008,1070.0791439378822,1073.3820601006514
0.5,1081.5509025136084,1081.550914122273,1066.4066297605275
0.5166666666666666,1092.646598933741,1092.6465949456453,1089.5089653106652
0.5333333333333333,1103.3785277154318,1103.3785160838206,1100.9901525667146
0.55,1113.7586073993568,1113.7586029977667,1121.8712911696439
0.5666666666666667,1123.798381642037,1123.7983901853381,1127.018268479632
0.5833333333333334,1133.509019215839,1133.5090339985702,1138.839609851438
0.6,1142.9013209988102,1142.901325040774,1133.093891857535
0.6166666666666667,1151.9857091315878,1151.9857001572068,1150.0415046261962
0.6333333333333333,1160.7722623264706,1160.7722540326383,1172.5318943773905
0.65,1169.2707473353787,1169.2707504087084,1191.67221451369
0.6666666666666666,1177.4906190455235,1177.4906329335313,1158.6046360639618
0.6833333333333333,1185.4410217600325,1185.441035655611,1208.1498783811185
0.7,1193.1307940887266,1193.130793173722,1213.3189254454612
0.7166666666666667,1200.568459879489,1200.5684504540418,1212.2881308899953
0.7333333333333333,1207.7622768783224,1207.7622723254342,1211.729111333262
0.75,1214.7202451441385,1214.7202526634446,1210.0114029260922
0.7666666666666666,1221.450107048759,1221.4501232732055,1243.3204173018134
0.7833333333333333,1227.9593500175602,1227.9593624811268,1257.3632247643097
0.8,1234.2552056438115,1234.255203444917,1261.2797286918033
0.8166666666666667,1240.344650853031,1240.3446421911692,1260.0712073240466
0.8333333333333334,1246.234448212143,1246.2344453894432,1251.5951543720273
0.85,1251.9311489047034,1251.9311578714842,1233.806369420471
0.8666666666666667,1257.4410927308995,1257.441109903931,1257.3742807340982
0.8833333333333333,1262.770410609121,1262.770424222597,1272.617534635266
0.9,1267.9250234614744,1267.9250228361404,1248.599601505231
0.9166666666666666,1272.9106414826044,1272.9106336066816,1278.8374723853346
0.9333333333333333,1277.7328001059186,1277.7327966146856,1284.1807555282521
0.95,1282.3968627083516,1282.3968703151756,1292.8375035677946
0.9666666666666667,1286.9080206103636,1286.9080374921245,1269.1462511090058
0.9833333333333333,1291.2712939650594,1291.2713110176353,1281.345755384474
1.0,1295.4915353978538,1295.4915394223162,1288.9450066907054
1.0166666666666666,1299.5734184418234,1299.5734122830352,1282.0263898252304
1.0333333333333332,1303.5214711328933,1303.521465434043,1329.6119892898453
1.05,1307.340082628215,1307.3400860072566,1299.9014217015826
1.0666666666666667,1311.033503206164,1311.0335173073006,1315.9680476480669
1.0833333333333333,1314.6058442663402,1314.6058635267273,1310.7272560842314
1.1,1318.061082155809,1318.0610943066529,1341.8131753378407
1.1166666666666667,1321.4030500602316,1321.4030491478777,1341.2084648664593
1.1333333333333333,1324.6354484604326,1324.6354416773943,1334.1357378028063
1.15,1327.7618664847757,1327.7618637750206,1294.709218275076
1.1666666666666667,1330.785782171384,1330.7857895647473,1331.5662167852822
1.1833333333333333,1333.7105624681371,1333.7105792752338,1343.9658553297852
1.2,1336.539463274156,1336.5394829737404,1351.5988869117887
1.2166666666666666,1339.2756341040954,1339.2756441776492,1330.0070284334813
1.2333333333333334,1341.9221052645107,1341.922103347584,1369.2522757144357
1.25,1344.4818076401132,1344.481801266013,1324.6753430899137
1.2666666666666666,1346.9575841193416,1346.957582305088,1337.0346637921134
1.2833333333333332,1349.3521895943613,1349.3521975873493,1363.3779394160717
1.3,1351.6682909610647,1351.668308042813,1352.4041101684443
1.3166666666666667,1353.9084671200026,1353.9084873658317,1383.9443558746814
1.3333333333333333,1356.0752129747998,1356.0752248750225,1358.9030008624868
1.35,1358.1709283435207,1358.1709282794302,1348.6730169906373
1.3666666666666667,1360.1979322622994,1360.1979263540081,1354.5344796838074
1.3833333333333333,1362.1584748020186,1362.1584715273862,1345.7912830377306
1.4,1364.05473706831,1364.0547423847995,1344.889534572511
1.4166666666666667,1365.8888312015526,1365.8888460889646,1375.345003563076
1.4333333333333333,1367.6628003768749,1367.6628207215865,1376.380287563067
1.45,1369.3786205479316,1369.3786375481054,1388.7970028395484
1.4666666666666666,1371.0381978189498,1371.0382032081923,1359.719110950051
1.4833333333333334,1372.643365542111,1372.6433618344354,1397.9799773287662
1.5,1374.195902553713,1374.1958971015652,1369.885086936583
1.5166666666666666,1375.6975342641786,1375.6975342084993,1399.3136584468473
1.5333333333333332,1377.1499326580536,1377.1499417954071,1370.6581449503146
1.55,1378.5547162940086,1378.554733797927,1367.5224669088745
1.5666666666666667,1379.9134503048383,1379.9134712405921,1383.6602308782183
1.5833333333333333,1381.2276490109348,1381.2276639714657,1396.699445283977
1.6,1382.4987686603777,1382.498772339903,1384.9139123111079
1.6166666666666667,1383.7282129514074,1383.728208819313,1374.9452805895573
1.6333333333333333,1384.9173446481889,1384.9173395767184,1364.7990489370388
1.65,1386.0674856505707,1386.0674859908593,1365.0446824268092
1.6666666666666667,1387.1799169940837,1387.1799261205279,1394.7201597422068
1.6833333333333333,1388.255878849941,1388.2558961247655,1403.101574349228
1.7,1389.2965705250394,1389.2965916365,1386.83215163566
1.7166666666666666,1390.3031523075977,1390.303169091149,1374.187679434171
1.7333333333333334,1391.276740848907,1391.2767470116676,1404.3723731382324
1.75,1392.2184097733248,1392.218407251467,1373.0125006026062
