path,Q_init,S_init,tau,Q_minus,Q_plus,S_minus,S_plus
./data/datasets/varying_pinn_datasets/varying_S.csv,600,0.2,1.2645011,38.703434,542.70557,0.30656347,0.1640947
./data/datasets/varying_pinn_datasets/varying_S.csv,600,0.2,0.0049726684,542.70557,468.80484,0.1640947,0.26091647
./data/datasets/varying_pinn_datasets/varying_S.csv,600,0.2,1.0127144,468.80484,233.59926,0.26091647,0.21937872
./data/datasets/varying_pinn_datasets/varying_S.csv,600,0.2,4.3779473,233.59926,586.63873,0.21937872,0.20071933
./data/datasets/varying_pinn_datasets/varying_S.csv,600,0.2,1.2645078,586.63873,252.62354,0.20071933,0.21339248
./data/datasets/varying_pinn_datasets/varying_S.csv,600,0.2,1.4201214,252.62354,340.7755,0.21339248,0.22604427
./data/datasets/varying_pinn_datasets/varying_S.csv,600,0.2,6.965206,340.7755,521.5265,0.22604427,0.18329586
./data/datasets/varying_pinn_datasets/varying_S.csv,600,0.2,4.377948,521.5265,253.25313,0.18329586,0.19426714
./data/datasets/varying_pinn_datasets/varying_S.csv,600,0.2,6.3047957,253.25313,46.577255,0.19426714,0.39462522
./data/datasets/varying_pinn_datasets/varying_S.csv,600,0.2,7.991855,46.577255,123.37217,0.39462522,0.22949009
./data/datasets/varying_pinn_datasets/varying_S.csv,600,0.2,6.9652243,123.37217,29.37579,0.22949009,0.23186992
