t_hours,C_true_ppm,C_meas_ppm,Q_true,S_true
0.0,500.0,500.0,200.0,354912.69907478295
0.016666666666666666,555.5544033701485,555.5544033701485,200.0,354912.69907478295
0.03333333333333333,609.287533936922,609.287533936922,200.0,354912.69907478295
0.05,661.2590583254771,661.2590583254771,200.0,354912.69907478295
0.06666666666666667,711.5267389315097,711.5267389315097,200.0,354912.69907478295
0.08333333333333333,760.1464644375104,760.1464644375104,200.0,354912.69907478295
0.1,807.1722669977629,807.1722669977629,200.0,354912.69907478295
0.11666666666666667,852.6563598987568,852.6563598987568,200.0,354912.69907478295
0.13333333333333333,896.6492928896375,896.6492928896375,200.0,354912.69907478295
0.15,939.1999783771072,939.1999783771072,200.0,354912.69907478295
0.16666666666666666,980.3557086610173,980.3557086610173,200.0,354912.69907478295
0.18333333333333332,1020.1621756297036,1020.1621756297036,200.0,354912.69907478295
0.2,1058.6636151060673,1058.6636151060673,200.0,354912.69907478295
0.21666666666666667,1095.902835380817,1095.902835380817,200.0,354912.69907478295
0.23333333333333334,1131.9212334927379,1131.9212334927379,200.0,354912.69907478295
0.25,1166.7587970171924,1166.7587970171924,200.0,354912.69907478295
0.26666666666666666,1200.454229626319,1200.454229626319,200.0,354912.69907478295
0.2833333333333333,1233.0449964496454,1233.0449964496454,200.0,354912.69907478295
0.3,1264.5673331244523,1264.5673331244523,200.0,354912.69907478295
0.31666666666666665,1295.0562475059742,1295.0562475059742,200.0,354912.69907478295
0.3333333333333333,1324.5455950070611,1324.5455950070611,200.0,354912.69907478295
0.35,1353.0681595425249,1353.0681595425249,200.0,354912.69907478295
0.36666666666666664,1380.6556572691745,1380.6556572691745,200.0,354912.69907478295
0.3833333333333333,1407.3387483442925,1407.3387483442925,200.0,354912.69907478295
0.4,1433.1470479294153,1433.1470479294153,200.0,354912.69907478295
0.4166666666666667,1458.109234377531,1458.109234377531,200.0,354912.69907478295
0.43333333333333335,1482.2530661251599,1482.2530661251599,200.0,354912.69907478295
0.45,1505.605389647004,1505.605389647004,200.0,354912.69907478295
0.4666666666666667,1528.19213751673,1528.19213751673,200.0,354912.69907478295
0.48333333333333334,1550.038384325468,1550.038384325468,200.0,354912.69907478295
0.5,1571.1684159228605,1571.1684159228605,200.0,354912.69907478295
0.5166666666666666,1591.6057309655637,1591.6057309655637,200.0,354912.69907478295
0.5333333333333333,1611.3730530937416,1611.3730530937416,200.0,354912.69907478295
0.55,1630.4923203399144,1630.4923203399144,200.0,354912.69907478295
0.5666666666666667,1648.9847649469884,1648.9847649469884,200.0,354912.69907478295
0.5833333333333334,1666.8709488513591,1666.8709488513591,200.0,354912.69907478295
0.6,1684.1707642212905,1684.1707642212905,200.0,354912.69907478295
0.6166666666666667,1700.9034446911264,1700.9034446911264,200.0,354912.69907478295
0.6333333333333333,1717.0875549908878,1717.0875549908878,200.0,354912.69907478295
0.65,1732.741069686782,1732.741069686782,200.0,354912.69907478295
0.6666666666666666,1747.8813956235185,1747.8813956235185,200.0,354912.69907478295
0.6833333333333333,1755.5489532691245,1755.5489532691245,200.0,33769.453955193254
0.7,1717.2999224343157,1717.2999224343157,200.0,33769.453955193254
0.7166666666666667,1680.3048383912649,1680.3048383912649,200.0,33769.453955193254
0.7333333333333333,1644.5225818370754,1644.5225818370754,200.0,33769.453955193254
0.75,1609.913429735423,1609.913429735423,200.0,33769.453955193254
0.7666666666666666,1576.4389172782953,1576.4389172782953,200.0,33769.453955193254
0.7833333333333333,1544.0618213686319,1544.0618213686319,200.0,33769.453955193254
0.8,1512.7461472473694,1512.7461472473694,200.0,33769.453955193254
0.8166666666666667,1482.4571297493494,1482.4571297493494,200.0,33769.453955193254
0.8333333333333334,1453.1611253306914,1453.1611253306914,200.0,33769.453955193254
0.85,1424.8255606543748,1424.8255606543748,200.0,33769.453955193254
0.8666666666666667,1397.4189278942627,1397.4189278942627,200.0,33769.453955193254
0.8833333333333333,1370.9107784637376,1370.9107784637376,200.0,33769.453955193254
0.9,1345.2716885924553,1345.2716885924553,200.0,33769.453955193254
0.9166666666666666,1320.47316151832,1320.47316151832,200.0,33769.453955193254
0.9333333333333333,1296.4876201830027,1296.4876201830027,200.0,33769.453955193254
0.95,1273.2883960484446,1273.2883960484446,200.0,33769.453955193254
0.9666666666666667,1250.8497355723907,1250.8497355723907,200.0,33769.453955193254
0.9833333333333333,1229.1467212910675,1229.1467212910675,200.0,33769.453955193254
1.0,1208.1552228775645,1208.1552228775645,200.0,33769.453955193254
1.0166666666666666,1187.85189609174,1187.85189609174,200.0,33769.453955193254
1.0333333333333332,1168.214171587248,1168.214171587248,200.0,33769.453955193254
1.05,1149.220258854483,1149.220258854483,200.0,33769.453955193254
1.0666666666666667,1130.8490577229268,1130.8490577229268,200.0,33769.453955193254
1.0833333333333333,1113.0801386247315,1113.0801386247315,200.0,33769.453955193254
1.1,1095.8937403329335,1095.8937403329335,200.0,33769.453955193254
1.1166666666666667,1079.2707630500604,1079.2707630500604,200.0,33769.453955193254
1.1333333333333333,1063.1927641779723,1063.1927641779723,200.0,33769.453955193254
1.15,1047.6418801590153,1047.6418801590153,200.0,33769.453955193254
1.1666666666666667,1032.6008161150794,1032.6008161150794,200.0,33769.453955193254
1.1833333333333333,1018.0528436367102,1018.0528436367102,200.0,33769.453955193254
1.2,1003.9817950449512,1003.9817950449512,200.0,33769.453955193254
1.2166666666666666,990.3720614751192,990.3720614751192,200.0,33769.453955193254
1.2333333333333334,977.2085229169413,977.2085229169413,200.0,33769.453955193254
1.25,964.4765391838082,964.4765391838082,200.0,33769.453955193254
1.2666666666666666,952.1619489578029,952.1619489578029,200.0,33769.453955193254
1.2833333333333332,940.2510618293871,940.2510618293871,200.0,33769.453955193254
1.3,928.7306672322511,928.7306672322511,200.0,33769.453955193254
1.3166666666666667,917.5879710387509,917.5879710387509,200.0,33769.453955193254
1.3333333333333333,906.8105817960837,906.8105817960837,200.0,33769.453955193254
1.35,896.3865107262881,896.3865107262881,200.0,33769.453955193254
1.3666666666666667,886.3041641285148,886.3041641285148,200.0,33769.453955193254
1.3833333333333333,876.5523549599747,876.5523549599747,200.0,33769.453955193254
1.4,867.1202619183313,867.1202619183313,200.0,33769.453955193254
1.4166666666666667,857.9973997091778,857.9973997091778,200.0,33769.453955193254
1.4333333333333333,849.1736190225708,849.1736190225708,200.0,33769.453955193254
1.45,840.639104233597,840.639104233597,200.0,33769.453955193254
1.4666666666666666,832.384371465473,832.384371465473,200.0,33769.453955193254
1.4833333333333334,824.4002693376847,824.4002693376847,200.0,33769.453955193254
1.5,816.6779301175288,816.6779301175288,200.0,33769.453955193254
1.5166666666666666,809.2087646798839,809.2087646798839,200.0,33769.453955193254
1.5333333333333332,801.9844625072095,801.9844625072095,200.0,33769.453955193254
1.55,794.9969943707811,794.9969943707811,200.0,33769.453955193254
1.5666666666666667,790.427459068162,790.427459068162,200.0,82099.6783838108
1.5833333333333333,791.7411416295021,791.7411416295021,200.0,82099.6783838108
1.6,793.0117622526086,793.0117622526086,200.0,82099.6783838108
1.6166666666666667,794.2407263025041,794.2407263025041,200.0,82099.6783838108
1.6333333333333333,795.4293955289943,795.4293955289943,200.0,82099.6783838108
1.65,796.5790907304643,796.5790907304643,200.0,82099.6783838108
1.6666666666666667,797.6910917538783,797.6910917538783,200.0,82099.6783838108
1.6833333333333333,798.7666374947795,798.7666374947795,200.0,82099.6783838108
1.7,799.8069258972906,799.8069258972906,200.0,82099.6783838108
1.7166666666666666,800.8131175180949,800.8131175180949,200.0,82099.6783838108
1.7333333333333334,801.786326649277,801.786326649277,200.0,82099.6783838108
1.75,802.7276273941757,802.7276273941757,200.0,82099.6783838108
1.7666666666666666,803.6380627820431,803.6380627820431,200.0,82099.6783838108
1.7833333333333332,804.5186447689165,804.5186447689165,200.0,82099.6783838108
1.8,805.3703542376181,805.3703542376181,200.0,82099.6783838108
1.8166666666666667,806.1941409977553,806.1941409977553,200.0,82099.6783838108
1.8333333333333333,806.9909237857208,806.9909237857208,200.0,82099.6783838108
1.8499999999999999,807.761591010564,807.761591010564,200.0,82099.6783838108
1.8666666666666667,808.507000241427,808.507000241427,200.0,82099.6783838108
1.8833333333333333,809.227972642032,809.227972642032,200.0,82099.6783838108
1.9,809.925304867399,809.925304867399,200.0,82099.6783838108
1.9166666666666667,810.5997704217559,810.5997704217559,200.0,82099.6783838108
1.9333333333333333,811.2521196585391,811.2521196585391,200.0,82099.6783838108
1.95,811.8830797803926,811.8830797803926,200.0,82099.6783838108
1.9666666666666666,812.4933548391688,812.4933548391688,200.0,82099.6783838108
1.9833333333333334,813.083625735928,813.083625735928,200.0,82099.6783838108
2.0,813.6545511029886,813.6545511029886,200.0,82099.6783838108
2.0166666666666666,814.2067658203064,814.2067658203064,200.0,82099.6783838108
2.033333333333333,814.7408772600525,814.7408772600525,200.0,82099.6783838108
2.05,815.257475097518,815.257475097518,200.0,82099.6783838108
2.0666666666666664,815.7571320448565,815.7571320448565,200.0,82099.6783838108
2.0833333333333335,816.2404038510849,816.2404038510849,200.0,82099.6783838108
2.1,816.707829302083,816.707829302083,200.0,82099.6783838108
