number,value,datetime_start,datetime_complete,duration,params_distance,params_margin_h,params_prominence_factor,params_sigma,params_window_size,user_attrs_mean_count_error,user_attrs_mean_precision,user_attrs_mean_recall,state
97,0.6386369790340377,2026-07-07 01:02:49.793979,2026-07-07 01:02:50.057509,0 days 00:00:00.263530,23,0.49201141525942166,0.016553319584075195,6.173143595357216,22,1.1,0.6512104562104561,0.7359580697080698,COMPLETE
98,0.6327711504891812,2026-07-07 01:02:50.073341,2026-07-07 01:02:50.374063,0 days 00:00:00.300722,25,0.5195848369829044,0.007770658425570637,6.822841070103113,19,1.5,0.633061938061938,0.7332181707181707,COMPLETE
99,0.6333928457462581,2026-07-07 01:02:50.374063,2026-07-07 01:02:50.699112,0 days 00:00:00.325049,22,0.4991045522155536,0.010297649733469139,6.349377050012617,20,2.25,0.6147094572094571,0.7810710123210123,COMPLETE
100,0.6549878830320005,2026-07-07 01:02:50.714839,2026-07-07 01:02:50.980978,0 days 00:00:00.266139,23,0.5115964969350418,0.011715754324369465,6.059511510149564,23,1.7,0.6476631701631701,0.771609779109779,COMPLETE
101,0.6410756888164009,2026-07-07 01:02:50.989143,2026-07-07 01:02:51.267278,0 days 00:00:00.278135,23,0.5447931156193951,0.008254702355656614,5.788054762049639,23,2.6,0.6213022394272394,0.7908942446442447,COMPLETE
102,0.6494160828515047,2026-07-07 01:02:51.267278,2026-07-07 01:02:51.532303,0 days 00:00:00.265025,24,0.5136101309873233,0.011515884539076813,5.993281409593691,23,1.4,0.6474358974358974,0.7490136252636252,COMPLETE
103,0.6275461030870237,2026-07-07 01:02:51.532303,2026-07-07 01:02:51.844160,0 days 00:00:00.311857,21,0.5183071299618999,0.00930055245834029,7.089331638535506,25,1.55,0.6239674214674215,0.7340219502719503,COMPLETE
104,0.6561970085298258,2026-07-07 01:02:51.844160,2026-07-07 01:02:52.127876,0 days 00:00:00.283716,22,0.5353087973157649,0.006383886889652698,5.500296414669585,27,2.4,0.6364627039627041,0.7986936674436674,COMPLETE
105,0.6578825198783806,2026-07-07 01:02:52.143677,2026-07-07 01:02:52.425061,0 days 00:00:00.281384,23,0.3069048735850238,0.006523445764735431,5.551837428216945,26,2.35,0.6407789432789432,0.7959903984903985,COMPLETE
106,0.6587990453818625,2026-07-07 01:02:52.425061,2026-07-07 01:02:52.736296,0 days 00:00:00.311235,23,0.31518394372916014,0.0070329215734497505,5.547027969563222,26,2.2,0.6423509823509823,0.7909903984903985,COMPLETE
107,0.19032065011012383,2026-07-07 01:02:52.736296,2026-07-07 01:02:53.005868,0 days 00:00:00.269572,26,0.30771636500418426,0.39178004361295615,5.535406952143786,26,-6.65,0.6495238095238095,0.17040917415917417,COMPLETE
108,0.6519971300367718,2026-07-07 01:02:53.005868,2026-07-07 01:02:53.267154,0 days 00:00:00.261286,24,0.2877566349568128,0.006625777356021691,6.084957343705496,17,3.05,0.6194943944943946,0.8305785880785882,COMPLETE
109,0.6405658182397314,2026-07-07 01:02:53.267154,2026-07-07 01:02:53.576508,0 days 00:00:00.309354,25,0.5351135107135482,0.012651041335404793,6.355828681672271,22,0.95,0.6484362859362858,0.7244681707181708,COMPLETE
110,0.6459592807146987,2026-07-07 01:02:53.576508,2026-07-07 01:02:53.850691,0 days 00:00:00.274183,23,0.5741627704665194,0.00453884812732729,5.0321392838216035,25,2.8,0.6211712592962593,0.7967275779775781,COMPLETE
111,0.6169994387651205,2026-07-07 01:02:53.850691,2026-07-07 01:02:54.178916,0 days 00:00:00.328225,23,0.4985954825171016,0.019786118285960188,4.791798656739978,27,0.75,0.6383087745587745,0.6901776001776002,COMPLETE
112,0.6568715511068451,2026-07-07 01:02:54.178916,2026-07-07 01:02:54.459308,0 days 00:00:00.280392,22,0.26879784671514656,0.00718176945727585,5.515508736169963,24,2.7,0.6291227522477523,0.8093820068820069,COMPLETE
113,0.6318076613938102,2026-07-07 01:02:54.459308,2026-07-07 01:02:54.754587,0 days 00:00:00.295279,22,0.27055198877969583,0.006684932151084353,5.8814239453188035,21,2.9,0.5998770837006131,0.7903542291042291,COMPLETE
114,0.6489554400383919,2026-07-07 01:02:54.770670,2026-07-07 01:02:55.054337,0 days 00:00:00.283667,24,0.300520768139455,0.01022728744113582,5.711695174235232,23,2.1,0.6348436979686979,0.7745480907980908,COMPLETE
115,0.6630974981194054,2026-07-07 01:02:55.054337,2026-07-07 01:02:55.337231,0 days 00:00:00.282894,20,0.24613522046517572,0.006074546400537605,5.44656415010307,24,3.45,0.6230910062160062,0.8499592074592075,COMPLETE
116,0.6586759294919544,2026-07-07 01:02:55.337231,2026-07-07 01:02:55.596620,0 days 00:00:00.259389,20,0.24546577904019237,0.006702044897681612,5.477069545136105,24,3.4,0.6213052919302919,0.8449592074592076,COMPLETE
