path,Q_init,S_init,tau,Q_minus,Q_plus,S_minus,S_plus
./data/datasets/varying_pinn_datasets/varying_S.csv,600,0.3,1.3741959,43.064804,475.79364,0.44849336,0.24105246
./data/datasets/varying_pinn_datasets/varying_S.csv,600,0.3,0.0043812,475.79364,400.13815,0.24105246,0.38576272
./data/datasets/varying_pinn_datasets/varying_S.csv,600,0.3,0.9824394,400.13815,228.4196,0.38576272,0.39586714
./data/datasets/varying_pinn_datasets/varying_S.csv,600,0.3,4.338025,228.4196,532.94336,0.39586714,0.26335695
./data/datasets/varying_pinn_datasets/varying_S.csv,600,0.3,1.3741957,532.94336,307.8169,0.26335695,0.30299494
./data/datasets/varying_pinn_datasets/varying_S.csv,600,0.3,2.9525049,307.8169,278.55188,0.30299494,0.46842813
./data/datasets/varying_pinn_datasets/varying_S.csv,600,0.3,6.9912376,278.55188,448.876,0.46842813,0.25848562
./data/datasets/varying_pinn_datasets/varying_S.csv,600,0.3,4.3380256,448.876,240.42943,0.25848562,0.27462232
./data/datasets/varying_pinn_datasets/varying_S.csv,600,0.3,6.2957096,240.42943,41.03303,0.27462232,0.5953914
./data/datasets/varying_pinn_datasets/varying_S.csv,600,0.3,7.9931583,41.03303,118.0671,0.5953914,0.3427638
./data/datasets/varying_pinn_datasets/varying_S.csv,600,0.3,6.991275,118.0671,30.600473,0.3427638,0.33056098
