path,Q_init,S_init,tau,Q_minus,Q_plus,S_minus,S_plus
./data/datasets/varying_pinn_datasets/varying_S.csv,800,0.05,1.3548651,56.05743,591.80023,0.052101217,0.048667017
./data/datasets/varying_pinn_datasets/varying_S.csv,800,0.05,0.004979301,591.80023,501.84833,0.048667017,0.05132422
./data/datasets/varying_pinn_datasets/varying_S.csv,800,0.05,0.97872066,501.84833,320.60956,0.05132422,0.050639715
./data/datasets/varying_pinn_datasets/varying_S.csv,800,0.05,4.398661,320.60956,699.00793,0.050639715,0.049990058
./data/datasets/varying_pinn_datasets/varying_S.csv,800,0.05,1.3548651,699.00793,380.79773,0.049990058,0.05016889
./data/datasets/varying_pinn_datasets/varying_S.csv,800,0.05,2.985288,380.79773,294.1505,0.05016889,0.05028933
./data/datasets/varying_pinn_datasets/varying_S.csv,800,0.05,3.4479256,294.1505,374.00626,0.05028933,0.052101605
./data/datasets/varying_pinn_datasets/varying_S.csv,800,0.05,7.958814,374.00626,684.8978,0.052101605,0.04833928
./data/datasets/varying_pinn_datasets/varying_S.csv,800,0.05,4.39866,684.8978,384.68784,0.04833928,0.049885415
./data/datasets/varying_pinn_datasets/varying_S.csv,800,0.05,6.259284,384.68784,250.58423,0.049885415,0.052728556
./data/datasets/varying_pinn_datasets/varying_S.csv,800,0.05,7.9513307,250.58423,26.432468,0.052728556,0.052244104
